variable,description
PCT_REDUCED_LUNCH15,"Students eligible for reduced-price lunch (%), 2015"
PCT_SBP12,"School Breakfast Program participants (% children), 2012*"
PCT_SBP17,"School Breakfast Program participants (% children), 2017*"
PCH_SBP_12_17,"School Breakfast Program participants (change % children), 2012-17*"
PCT_SFSP12,"Summer Food Service Program participants (% children), 2012*"
PCT_SFSP17,"Summer Food Service Program participants (% children), 2017*"
PCH_SFSP_12_17,"Summer Food Program participants (change % children), 2012-17*"
PC_WIC_REDEMP11,"WIC redemptions per capita, 2011"
PC_WIC_REDEMP16,"WIC redemptions per capita, 2016"
PCH_PC_WIC_REDEMP_11_16,"WIC redemptions per capita (% change), 2011-16"
REDEMP_WICS11,"WIC redemptions/WIC-authorized stores, 2011"
REDEMP_WICS16,"WIC redemptions/WIC-authorized stores, 2016"
PCH_REDEMP_WICS_11_16,"WIC redemptions/WIC-authorized stores (% change), 2011-16"
PCT_WIC12,"WIC participants (% pop), 2012*"
PCT_WIC17,"WIC participants (% pop), 2017*"
PCH_WIC_12_17,"WIC participants (change % pop), 2012-17*"
PCT_WICINFANTCHILD14,"WIC infant and children participants (% infant & children), 2014*"
PCT_WICINFANTCHILD16,"WIC infant and children participants (% infant & children), 2016*"
PCH_WICINFANTCHILD_14_16,"WIC infant and children participants (change % infant & children), 2014-16*"
PCT_WICWOMEN14,"WIC women participants (% women), 2014*"
PCT_WICWOMEN16,"WIC women participants (% women), 2016*"
PCH_WICWOMEN_14_16,"WIC women participants (change % women), 2014-16*"
PCT_CACFP12,"Child & Adult Care (% pop), 2012*"
PCT_CACFP17,"Child & Adult Care (% pop), 2017*"
PCH_CACFP_12_17,"Child & Adult Care (change % pop), 2012-17*"
FDPIR12,"FDPIR Sites, 2012"
FDPIR15,"FDPIR Sites, 2015"
PCH_FDPIR_12_15,"FDPIR Sites, 2012-15"
FOOD_BANKS18,"Food Banks, 2018"
FOODINSEC_12_14,"Household food insecurity (%, three-year average), 2012-14*"
FOODINSEC_15_17,"Household food insecurity (%, three-year average), 2015-17*"
CH_FOODINSEC_14_17,"Household food insecurity (change %),2012-14 to 2015-17*"
VLFOODSEC_12_14,"Household very low food security (%, three-year average), 2012-14*"
VLFOODSEC_15_17,"Household very low food security (%, three-year average), 2015-17*"
CH_VLFOODSEC_14_17,"Household very low food security (change %), 2012-14 to 2015-17*"
SODATAX_STORES14,"Soda sales tax, retail stores, 2014*"
SODATAX_VENDM14,"Soda sales tax, vending, 2014*"
CHIPSTAX_STORES14,"Chip & pretzel sales tax, retail stores, 2014*"
CHIPSTAX_VENDM14,"Chip & pretzel sales tax, vending, 2014*"
FOOD_TAX14,"General food sales tax, retail stores, 2014*"
DIRSALES_FARMS07,"Farms with direct sales, 2007"
DIRSALES_FARMS12,"Farms with direct sales, 2012"
PCH_DIRSALES_FARMS_07_12,"Farms with direct sales (% change), 2007 - 12"
PCT_LOCLFARM07,"Farms with direct sales (%), 2007"
PCT_LOCLFARM12,"Farms with direct sales (%), 2012"
PCT_LOCLSALE07,"Direct farm sales (%), 2007"
PCT_LOCLSALE12,"Direct farm sales (%), 2012"
DIRSALES07,"Direct farm sales, 2007"
DIRSALES12,"Direct farm sales, 2012"
PCH_DIRSALES_07_12,"Direct farm sales (% change), 2007 - 12"
PC_DIRSALES07,"Direct farm sales per capita, 2007"
PC_DIRSALES12,"Direct farm sales per capita, 2012"
PCH_PC_DIRSALES_07_12,"Direct farm sales per capita (% change), 2007 - 12"
FMRKT13,"Farmers' markets, 2013"
FMRKT18,"Farmers' markets, 2018"
PCH_FMRKT_13_18,"Farmers' markets (% change), 2013-18"
FMRKTPTH13,"Farmers' markets/1,000 pop, 2013"
FMRKTPTH18,"Farmers' markets/1,000 pop, 2018"
PCH_FMRKTPTH_13_18,"Farmers' markets/1,000 pop (% change), 2013-18"
FMRKT_SNAP18,"Farmers' markets that report accepting SNAP, 2018"
PCT_FMRKT_SNAP18,"Farmers' markets that report accepting SNAP (%), 2018"
FMRKT_WIC18,"Farmers' markets that report accepting WIC, 2018"
PCT_FMRKT_WIC18,"Farmers' markets that report accepting WIC (%), 2018"
FMRKT_WICCASH18,"Farmers' markets that report accepting WIC Cash, 2018"
PCT_FMRKT_WICCASH18,"Farmers' markets that report accepting WIC Cash (%), 2018"
FMRKT_SFMNP18,"Farmers' markets that report accepting SFMNP, 2018"
PCT_FMRKT_SFMNP18,"Farmers' markets that report accepting SFMNP (%), 2018"
FMRKT_CREDIT18,"Farmers' markets that report accepting credit cards, 2018"
PCT_FMRKT_CREDIT18,"Farmers' markets that report accepting credit cards (%), 2018"
FMRKT_FRVEG18,"Farmers' markets that report selling fruit & vegetables, 2018"
PCT_FMRKT_FRVEG18,"Farmers' markets that report selling fruit & vegetables (%), 2018"
FMRKT_ANMLPROD18,"Farmers' markets that report selling animal products, 2018"
PCT_FMRKT_ANMLPROD18,"Farmers' markets that report selling animal products (%), 2018"
FMRKT_BAKED18,"Farmers' markets that report selling baked/prepared food products, 2018"
PCT_FMRKT_BAKED18,"Farmers' markets that report selling baked/prepared food products (%), 2018"
FMRKT_OTHERFOOD18,"Farmers' markets that report selling other food products, 2018"
PCT_FMRKT_OTHERFOOD18,"Farmers' markets that report selling other food products (%), 2018"
VEG_FARMS07,"Vegetable farms, 2007"
VEG_FARMS12,"Vegetable farms, 2012"
PCH_VEG_FARMS_07_12,"Vegetable farms (% change), 2007 - 12"
VEG_ACRES07,"Vegetable acres harvested, 2007"
VEG_ACRES12,"Vegetable acres harvested, 2012"
PCH_VEG_ACRES_07_12,"Vegetable acres harvested (% change), 2007 - 12"
VEG_ACRESPTH07,"Vegetable acres harvested/1,000 pop, 2007"
VEG_ACRESPTH12,"Vegetable acres harvested/1,000 pop, 2012"
PCH_VEG_ACRESPTH_07_12,"Vegetable acres harvested/1,000 pop (% change), 2007 - 12"
FRESHVEG_FARMS07,"Farms with vegetables harvested for fresh market, 2007"
FRESHVEG_FARMS12,"Farms with vegetables harvested for fresh market, 2012"
